"fnu","area","region","comuna","sex","age","ses","phone","edu","pond","agecat","approval"
1580,1,13,13123,1,30,2,1,4,1.977,2,2
1579,1,13,13123,1,60,2,1,4,1.243,5,1
890,2,9,9110,2,28,3,9,4,0.514,2,2
871,1,9,9102,1,72,3,2,1,0.421,5,1
1031,1,10,10202,1,55,4,2,2,0.526,5,1
104,1,2,2201,1,35,3,2,3,8.956,3,2
1103,1,13,13101,2,33,2,2,4,1.083,2,2
263,1,5,5106,1,25,3,1,4,3.304,2,2
924,1,9,9201,2,73,4,2,2,0.258,5,2
105,1,2,2201,1,43,2,1,4,8.956,3,2
346,1,5,5402,1,43,4,2,3,1.347,3,3
997,1,10,10101,2,71,3,1,2,0.755,5,2
109,1,2,2301,2,77,4,2,1,0.219,5,2
698,1,8,8110,2,28,3,1,4,0.127,2,2
641,1,8,8101,2,41,3,2,4,0.764,3,2
1195,1,13,13106,2,39,4,2,4,0.517,3,1
653,1,8,8102,1,59,3,1,2,1.372,5,2
1508,1,13,13120,2,64,3,1,3,1.572,5,2
1054,1,10,10301,2,46,4,2,1,0.899,4,2
72,1,2,2101,1,29,3,2,3,3.061,2,3
1331,1,13,13113,2,73,1,1,2,1.035,5,1
1075,1,12,12101,1,79,4,1,2,0.322,5,2
416,1,6,6101,1,30,4,2,3,0.563,2,2
627,1,8,8101,1,63,1,2,4,2.457,5,2
30,1,1,1101,2,43,4,1,3,1.37,3,1
1236,1,13,13109,1,61,4,1,4,1.178,5,1
8,1,15,15101,2,57,4,2,4,0.84,5,3
1620,1,13,13125,2,52,4,2,2,0.804,4,2
864,1,9,9101,1,61,3,1,3,0.376,5,3
1073,1,11,11202,1,29,4,2,2,1.111,2,2
775,2,8,8307,1,80,4,2,1,0.772,5,3
635,1,8,8101,2,48,4,2,3,0.471,4,3
711,1,8,8110,1,21,3,1,4,0.671,1,2
345,1,5,5402,2,42,3,1,4,1.137,3,1
1586,1,13,13123,2,86,2,9,4,0.35,5,1
1002,1,10,10101,2,75,4,1,2,0.504,5,1
998,1,10,10101,1,61,5,2,1,0.248,5,1
1766,1,13,13201,2,28,2,1,4,0.41,2,1
1524,1,13,13120,2,47,1,1,4,0.513,4,1
83,1,2,2101,2,36,3,2,3,0.268,3,1
479,1,6,6301,2,19,4,2,3,0.429,1,1
750,1,8,8301,2,29,3,2,4,0.338,2,2
59,1,2,2101,2,21,3,2,4,0.716,1,2
64,1,2,2101,1,51,4,2,3,1.146,4,2
412,1,6,6101,2,33,4,2,3,0.568,2,1
1211,1,13,13106,2,54,3,1,4,0.279,4,2
1053,1,10,10301,2,49,3,1,2,1.798,4,1
235,1,5,5101,2,25,3,2,4,3.065,2,3
1635,1,13,13126,2,19,3,1,4,1.994,1,2
1278,1,13,13110,1,31,2,1,4,0.776,2,2
1196,1,13,13106,2,53,3,1,3,0.464,4,1
112,1,2,2301,1,39,3,2,3,0.29,3,1
457,1,6,6115,1,36,4,2,3,0.528,3,1
28,1,1,1101,2,75,4,2,2,0.92,5,3
1418,1,13,13117,2,70,5,2,2,0.416,5,2
719,1,8,8110,1,44,3,1,4,0.916,3,9
1657,1,13,13128,1,66,4,1,2,1.173,5,1
620,1,8,8101,1,32,4,1,3,1.428,2,1
1230,1,13,13108,1,38,5,2,2,1.129,3,2
131,1,3,3101,2,23,3,1,3,0.638,1,1
128,1,3,3101,1,44,3,1,3,1.98,3,3
856,1,9,9101,1,27,2,9,4,2.137,2,2
1824,1,13,13402,2,42,4,9,3,1.133,3,1
1557,1,13,13122,1,62,3,9,2,1.495,5,2
138,1,3,3202,2,34,2,1,3,0.973,2,1
886,1,9,9109,2,48,4,2,2,1.005,4,1
1830,1,13,13404,2,38,3,1,4,0.209,3,1
782,1,8,8312,2,62,4,1,1,0.466,5,2
1333,1,13,13113,2,46,1,1,4,0.37,4,2
1596,1,13,13124,1,48,4,2,3,2.924,4,2
717,1,8,8110,2,44,4,2,3,0.773,3,2
1585,1,13,13123,2,21,2,2,4,0.597,1,2
18,1,15,15101,2,24,3,2,3,1.343,1,3
510,1,7,7101,2,57,3,2,3,2.055,5,2
1562,1,13,13122,2,37,3,2,2,0.13,3,2
203,1,4,4302,1,58,3,2,3,0.825,5,1
1839,1,13,13501,1,59,4,1,3,0.327,5,2
1086,1,12,12101,1,24,3,9,4,0.407,1,2
1052,1,10,10301,2,45,4,1,3,1.348,4,3
1612,1,13,13125,2,53,3,1,4,0.272,4,2
1210,1,13,13106,2,31,3,1,2,1.642,2,1
1104,1,13,13101,2,21,2,1,4,1.251,1,2
1001,1,10,10101,2,43,5,2,2,0.563,3,2
1148,1,13,13103,2,52,4,2,3,0.201,4,2
1275,1,13,13110,2,47,3,1,4,1.116,4,1
1622,1,13,13125,2,29,3,1,4,2.766,2,2
947,1,14,14101,2,45,4,1,2,0.018,4,9
1823,1,13,13402,1,50,4,1,1,1.242,4,2
1219,1,13,13107,1,30,3,1,4,0.05,2,3
515,1,7,7101,2,43,4,2,2,0.387,3,1
1856,1,13,13602,1,41,4,1,3,1.309,3,2
1228,1,13,13108,2,80,5,1,3,0.427,5,2
1791,1,13,13401,1,38,2,9,4,2.173,3,1
708,1,8,8110,2,48,3,2,4,0.407,4,2
1521,1,13,13120,1,37,1,2,4,0.903,3,3
330,1,5,5201,1,70,3,1,2,0.203,5,3
68,1,2,2101,1,31,3,2,4,0.437,2,1
1069,1,11,11202,2,64,2,2,3,0.708,5,1
77,1,2,2101,1,49,2,2,3,0.779,4,1
966,2,14,14103,2,46,4,2,3,0.851,4,1
621,1,8,8101,1,33,2,2,4,0.952,2,1
1424,1,13,13117,2,54,4,1,3,0.358,4,1
1206,1,13,13106,2,26,4,2,3,0.267,2,2
1800,1,13,13401,2,78,3,9,2,1.336,5,2
1765,1,13,13201,2,48,2,1,3,0.313,4,2
1380,1,13,13114,2,42,3,2,4,0.592,3,9
1500,1,13,13120,1,35,2,2,4,0.089,3,2
1611,1,13,13125,1,33,4,9,3,0.852,2,2
409,1,6,6101,2,19,3,2,4,0.656,1,2
1420,1,13,13117,2,48,5,2,3,1.563,4,1
1598,1,13,13124,2,34,4,1,3,1.579,2,2
862,1,9,9101,1,39,1,1,4,0.505,3,1
1050,1,10,10301,1,73,4,1,3,0.884,5,2
887,1,9,9109,2,27,3,2,3,1.971,2,3
1294,1,13,13111,2,42,3,1,3,0.676,3,1
1409,1,13,13116,1,45,4,2,3,2.173,4,2
1404,2,13,13115,1,29,4,2,3,0.999,2,2
696,1,8,8110,2,77,4,1,2,0.026,5,1
